,Measure,Mean_EXP,STD_EXP,Mean_HC,STD_HC,P_value
0,Unnamed: 0,49.69565217391305,25.62192599683793,64.86301369863014,38.07642718872325,0.010641496797212104
1,1. SEX,1.434782608695652,0.5012062743707414,1.5068493150684932,0.5034130089044646,0.44762285591702233
2,2.AGE,28.82608695652174,7.224354943372182,30.027397260273972,7.195624833381056,0.3785463029339765
3,3-2. YR_EDU,15.055555555555555,2.5455447314470785,15.395833333333334,2.432088159771641,0.47611900842928323
4,STAI-X-1,58.95238095238095,11.738933306242473,33.507246376811594,6.661176341099921,1.6299471509588607e-18
5,STAI-X-2,53.38095238095238,11.10252087602429,28.63768115942029,7.114548091334018,3.312837613500892e-19
6,HADS_anxiety,10.804878048780488,2.4209451893333105,12.347826086956522,4.730458524462761,0.026042854321279257
7,HADS_depression,8.878048780487806,1.7634500553066355,6.9855072463768115,1.9888864281832244,1.2638157890595103e-06
8,SWLS,9.048780487804878,5.809265097721893,18.768115942028984,5.391019022782874,3.4660793900480516e-13
9,GAD-7,10.073170731707316,5.212438219789464,3.260869565217391,2.7634812545956016,2.65420526544511e-10
10,PDSS,5.878048780487805,5.427684229720901,0.11594202898550725,0.40352242754414136,3.6056955426308624e-08
11,performance_lsas,40.390243902439025,12.23903192409532,12.333333333333334,8.796166723045207,1.8519323536731375e-19
12,social_interaction_lsas,35.170731707317074,12.706105695736186,10.492753623188406,7.964301210818253,3.159667978342056e-16
13,lsas,75.5609756097561,24.267312150800514,22.82608695652174,16.106225067765063,2.5065224298082967e-18
14,MOCI,17.365853658536587,5.151485696189865,21.043478260869566,8.044791487461085,0.0042544802914219115
15,checking,4.585365853658536,2.355584956609478,6.391304347826087,2.527597041276369,0.00028069155969161886
16,cleaning,8.121951219512194,2.325888238407206,8.304347826086957,3.8359918873207737,0.7568243127048865
17,doubting,2.975609756097561,2.055332149289365,4.043478260869565,1.7187100378985984,0.006609335017297003
18,slowness,3.926829268292683,1.7086580099955495,5.420289855072464,2.316220279968368,0.0001915537056895036
19,BFNE,46.65853658536585,6.620459788026663,29.536231884057973,8.444594007140843,1.1643346531042093e-20
20,PSWQ,57.146341463414636,8.412969082344699,36.391304347826086,9.005255640791672,1.189469748292177e-20
21,Handedness(true),42.04761904761905,7.237950056615987,42.95652173913044,5.451483291428705,0.4852535913751864
22,FCV-19S,6.804878048780488,5.148881005592972,5.0144927536231885,3.844372333161309,0.05790270489809413
